#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp6308_c0_seq1_FPKM_all:34.154_FPKM_rel:34.154_len:2485_path:	PRK03918	2e-07	23	53.5	686	806	252	366	880	chromosome segregation protein	L	Replication, recombination and repair
comp7523_c0_seq1_FPKM_all:23.979_FPKM_rel:15.573_len:1101_path:	PRK11401	5e-15	31	77.0	47	167	1	126	129	putative endoribonuclease L-PSP	J	Translation, ribosomal structure and biogenesis
comp4515_c0_seq3_FPKM_all:46.801_FPKM_rel:27.066_len:424_path:[	PRK08568	2e-33	40	136	1	132	319	452	462	preprotein translocase subunit SecY	U	Intracellular trafficking, secretion, and vesicular transport
comp4780_c0_seq1_FPKM_all:48.184_FPKM_rel:48.184_len:1558_path:	PRK10757	2e-27	30	118	15	281	9	267	267	inositol monophosphatase	G	Carbohydrate transport and metabolism
comp5425_c0_seq2_FPKM_all:21.453_FPKM_rel:21.453_len:1729_path:	PRK13357	1e-73	34	272	49	415	1	356	356	branched-chain amino acid aminotransferase	X	Multifunctional
comp4445_c0_seq1_FPKM_all:39.924_FPKM_rel:39.924_len:2066_path:	PRK07003	3e-05	22	45.6	1	146	409	545	830	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp5972_c0_seq3_FPKM_all:16.465_FPKM_rel:5.357_len:2595_path:[	PRK05899	0.0	56	1011	82	748	1	623	624	transketolase	G	Carbohydrate transport and metabolism
comp5565_c0_seq4_FPKM_all:26.068_FPKM_rel:25.021_len:359_path:[	PRK14015	1e-19	50	89.0	1	52	824	875	875	aminopeptidase N	E	Amino acid transport and metabolism
comp5632_c0_seq5_FPKM_all:47.307_FPKM_rel:26.306_len:631_path:[	PRK08535	5e-19	34	89.2	24	163	165	304	310	translation initiation factor IF-2B subunit delta	J	Translation, ribosomal structure and biogenesis
comp14275_c0_seq1_FPKM_all:9.243_FPKM_rel:5.27_len:1212_path:[0	PRK05420	7e-28	32	119	85	275	34	226	231	aquaporin Z	G	Carbohydrate transport and metabolism
comp14984_c0_seq1_FPKM_all:6.5_FPKM_rel:3.31_len:846_path:[263,	PRK10077	8e-34	40	138	19	213	272	470	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp14134_c0_seq2_FPKM_all:2.703_FPKM_rel:2.703_len:556_path:[1	PRK03992	1e-10	50	60.2	80	128	127	174	389	proteasome-activating nucleotidase	O	Posttranslational modification, protein turnover, chaperones
comp18888_c0_seq1_FPKM_all:3.638_FPKM_rel:2.728_len:338_path:[1	PRK14291	1e-12	44	66.0	7	67	6	66	382	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp19598_c0_seq1_FPKM_all:3.942_FPKM_rel:3.942_len:1005_path:[	PRK11174	3e-25	34	110	25	211	389	580	588	cysteine/glutathione ABC transporter membrane/ATP-binding component	X	Multifunctional
comp18840_c0_seq2_FPKM_all:3.554_FPKM_rel:2.567_len:692_path:[9	PRK13184	7e-09	29	55.5	36	185	3	160	932	serine/threonine-protein kinase	X	Multifunctional
comp21922_c0_seq1_FPKM_all:2.64_FPKM_rel:2.64_len:401_path:[0,	PRK10077	5e-19	32	88.2	2	129	82	226	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp12030_c0_seq1_FPKM_all:9.86_FPKM_rel:9.86_len:2106_path:[0]	PRK10550	2e-15	34	79.5	203	342	92	231	312	tRNA-dihydrouridine synthase C	J	Translation, ribosomal structure and biogenesis
comp12662_c0_seq2_FPKM_all:5.154_FPKM_rel:5.154_len:391_path:[3	PRK10767	2e-10	41	58.2	9	54	4	49	371	chaperone protein DnaJ	O	Posttranslational modification, protein turnover, chaperones
comp13914_c0_seq1_FPKM_all:6.098_FPKM_rel:6.098_len:2851_path:[	PRK15347	1e-27	20	120	373	842	407	815	921	two component system sensor kinase SsrA	T	Signal transduction mechanisms
comp13282_c0_seq4_FPKM_all:7.418_FPKM_rel:5.624_len:419_path:[6	PRK05826	1e-06	27	46.3	1	91	384	454	465	pyruvate kinase	G	Carbohydrate transport and metabolism
comp13707_c0_seq1_FPKM_all:5.413_FPKM_rel:3.583_len:896_path:[0	PRK11538	1e-12	34	67.5	77	173	14	105	105	ribosome-associated protein	S	Function unknown
comp12212_c0_seq3_FPKM_all:5.38_FPKM_rel:1.521_len:584_path:[25	PRK11824	7e-04	31	38.9	94	150	555	605	693	polynucleotide phosphorylase/polyadenylase	J	Translation, ribosomal structure and biogenesis
comp13393_c0_seq1_FPKM_all:9.841_FPKM_rel:9.841_len:944_path:[0	PRK00203	8e-16	31	79.5	83	241	9	142	150	ribonuclease H	L	Replication, recombination and repair
comp12322_c0_seq1_FPKM_all:10.047_FPKM_rel:10.047_len:996_path:	PRK15113	2e-12	27	68.4	5	137	5	151	214	glutathione S-transferase	O	Posttranslational modification, protein turnover, chaperones
comp31791_c0_seq1_FPKM_all:2.227_FPKM_rel:2.227_len:414_path:[0	PRK04309	3e-28	43	118	34	129	25	119	383	DNA-directed RNA polymerase subunit A''	K	Transcription
comp30950_c0_seq1_FPKM_all:2.361_FPKM_rel:2.361_len:622_path:[0	PRK11180	2e-17	31	83.6	28	184	165	302	325	23S rRNA pseudouridine synthase D	J	Translation, ribosomal structure and biogenesis
comp31283_c0_seq1_FPKM_all:2.344_FPKM_rel:2.344_len:408_path:[0	PRK00037	8e-09	33	54.0	47	124	326	403	412	histidyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp3199_c0_seq1_FPKM_all:71.021_FPKM_rel:71.021_len:2468_path:	PRK14552	3e-64	37	242	83	421	33	367	414	C/D box methylation guide ribonucleoprotein complex aNOP56 subunit	J	Translation, ribosomal structure and biogenesis
comp3199_c0_seq1_FPKM_all:71.021_FPKM_rel:71.021_len:2468_path:	PRK05306	3e-06	15	49.1	510	731	14	232	787	translation initiation factor IF-2	J	Translation, ribosomal structure and biogenesis
comp3492_c0_seq1_FPKM_all:40.028_FPKM_rel:40.028_len:314_path:[	PRK09287	7e-56	67	209	1	104	86	189	459	6-phosphogluconate dehydrogenase	G	Carbohydrate transport and metabolism
comp2227_c0_seq2_FPKM_all:97.098_FPKM_rel:49.172_len:2413_path:	PRK05901	2e-05	22	46.2	1	100	86	185	509	RNA polymerase sigma factor	K	Transcription
comp2721_c0_seq1_FPKM_all:98.903_FPKM_rel:98.903_len:1794_path:	PRK12849	6e-15	33	77.5	46	174	13	142	542	chaperonin GroEL	O	Posttranslational modification, protein turnover, chaperones
comp2043_c0_seq1_FPKM_all:97.848_FPKM_rel:97.848_len:2176_path:	PRK03893	3e-28	25	121	43	409	1	413	496	putative sialic acid transporter	G	Carbohydrate transport and metabolism
comp3768_c0_seq1_FPKM_all:48.025_FPKM_rel:17.041_len:2844_path:	PRK11230	8e-45	27	177	345	812	17	474	499	glycolate oxidase subunit GlcD	C	Energy production and conversion
comp3980_c0_seq2_FPKM_all:44.127_FPKM_rel:44.06_len:4579_path:[	PRK15347	2e-28	28	123	736	1025	385	619	921	two component system sensor kinase SsrA	T	Signal transduction mechanisms
comp3980_c0_seq2_FPKM_all:44.127_FPKM_rel:44.06_len:4579_path:[	PRK11361	2e-12	32	70.3	1260	1374	6	113	457	acetoacetate metabolism regulatory protein AtoC	T	Signal transduction mechanisms
comp3613_c0_seq1_FPKM_all:70.599_FPKM_rel:70.599_len:1312_path:	PRK10675	6e-11	27	63.7	35	262	2	252	338	UDP-galactose-4-epimerase	M	Cell wall/membrane/envelope biogenesis
comp27631_c0_seq1_FPKM_all:3.242_FPKM_rel:3.242_len:611_path:[0	PRK09880	3e-17	29	83.2	1	168	181	339	343	L-idonate 5-dehydrogenase	X	Multifunctional
comp28650_c0_seq1_FPKM_all:2.224_FPKM_rel:2.224_len:1198_path:[	PRK12467	5e-32	24	133	25	398	2756	3137	3956	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp17439_c0_seq3_FPKM_all:6.31_FPKM_rel:2.4_len:498_path:[0,	PRK08162	5e-93	69	334	1	165	324	488	545	acyl-CoA synthetase	X	Multifunctional
comp17482_c0_seq1_FPKM_all:4.941_FPKM_rel:1.841_len:1410_path:[	PRK14354	2e-22	24	101	58	392	21	355	458	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	M	Cell wall/membrane/envelope biogenesis
comp22922_c0_seq1_FPKM_all:2.116_FPKM_rel:2.116_len:452_path:[0	PRK10077	3e-04	26	38.1	12	63	439	479	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp22248_c0_seq3_FPKM_all:2.97_FPKM_rel:2.97_len:345_path:[0,	PRK01117	5e-08	51	50.8	1	29	397	425	430	adenylosuccinate synthetase	F	Nucleotide transport and metabolism
comp1877_c0_seq2_FPKM_all:52.691_FPKM_rel:13.522_len:1662_path:	PRK12727	8e-04	16	38.8	18	193	77	250	559	flagellar biosynthesis regulator FlhF	N	Cell motility
comp1042_c0_seq1_FPKM_all:172.077_FPKM_rel:172.077_len:1308_pat	PRK09289	3e-68	48	254	19	215	1	191	194	riboflavin synthase subunit alpha	H	Coenzyme transport and metabolism
comp383_c0_seq3_FPKM_all:387.082_FPKM_rel:135.205_len:1572_path	PRK10019	2e-10	60	61.7	240	269	119	148	279	nickel/cobalt efflux protein RcnA	R	General function prediction only
comp383_c0_seq3_FPKM_all:387.082_FPKM_rel:135.205_len:1572_path	PRK14951	1e-05	16	45.9	29	143	367	486	618	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp1205_c0_seq1_FPKM_all:100.582_FPKM_rel:100.582_len:5247_pat	PRK00252	0.0	40	922	12	953	7	863	865	alanyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp1354_c0_seq1_FPKM_all:185.33_FPKM_rel:185.33_len:1295_path:	PRK03996	1e-50	35	195	82	344	8	240	241	proteasome subunit alpha	O	Posttranslational modification, protein turnover, chaperones
comp1150_c0_seq2_FPKM_all:93.985_FPKM_rel:47.137_len:6498_path:	PRK05035	3e-18	27	88.9	339	577	459	691	695	electron transport complex protein RnfC	C	Energy production and conversion
comp1150_c0_seq2_FPKM_all:93.985_FPKM_rel:47.137_len:6498_path:	PRK07764	2e-07	15	52.7	113	326	587	804	824	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp458_c0_seq6_FPKM_all:158.507_FPKM_rel:20.372_len:6547_path:	PRK05396	3e-33	38	137	41	246	13	211	341	L-threonine 3-dehydrogenase	X	Multifunctional
comp1047_c0_seq1_FPKM_all:212.645_FPKM_rel:212.645_len:1053_pat	PRK05653	2e-22	27	101	6	201	8	193	246	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp654_c0_seq1_FPKM_all:352.705_FPKM_rel:352.705_len:1894_path	PRK10504	4e-22	27	101	92	413	20	333	471	putative transporter	G	Carbohydrate transport and metabolism
comp1412_c0_seq5_FPKM_all:195.303_FPKM_rel:28.267_len:1079_path	PRK12678	1e-07	23	51.8	135	232	149	246	672	transcription termination factor Rho	K	Transcription
comp9728_c0_seq1_FPKM_all:8.035_FPKM_rel:4.038_len:4051_path:[0	PRK08186	1e-158	48	556	1	448	155	598	600	allophanate hydrolase	J	Translation, ribosomal structure and biogenesis
comp9728_c0_seq1_FPKM_all:8.035_FPKM_rel:4.038_len:4051_path:[0	PRK08591	1e-142	43	501	464	904	2	442	451	acetyl-CoA carboxylase biotin carboxylase subunit	I	Lipid transport and metabolism
comp8600_c0_seq1_FPKM_all:6.676_FPKM_rel:4.064_len:353_path:[0,	PRK13371	1e-09	65	56.1	1	32	352	383	387	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	X	Multifunctional
comp9430_c0_seq2_FPKM_all:19.764_FPKM_rel:13.35_len:394_path:[0	PRK11824	2e-06	50	45.8	73	100	314	341	693	polynucleotide phosphorylase/polyadenylase	J	Translation, ribosomal structure and biogenesis
comp8788_c0_seq2_FPKM_all:12.653_FPKM_rel:3.278_len:2459_path:[	PRK09874	2e-09	31	59.5	160	314	29	181	408	drug efflux system protein MdtG	G	Carbohydrate transport and metabolism
comp8772_c0_seq4_FPKM_all:13.829_FPKM_rel:5.658_len:2976_path:[	PRK10226	1e-13	29	73.8	398	545	6	149	313	isoaspartyl peptidase	E	Amino acid transport and metabolism
comp8231_c0_seq3_FPKM_all:12.698_FPKM_rel:6.145_len:1006_path:[	PRK15113	4e-15	32	76.5	24	171	30	171	214	glutathione S-transferase	O	Posttranslational modification, protein turnover, chaperones
comp8424_c0_seq2_FPKM_all:24.146_FPKM_rel:12.232_len:860_path:[	PRK04231	6e-68	39	252	7	285	58	309	337	50S ribosomal protein L3P	J	Translation, ribosomal structure and biogenesis
comp36899_c0_seq1_FPKM_all:1.865_FPKM_rel:1.865_len:348_path:[0	PRK10689	4e-27	45	114	3	115	801	913	1147	transcription-repair coupling factor	X	Multifunctional
comp36544_c0_seq1_FPKM_all:1.661_FPKM_rel:1.661_len:329_path:[0	PRK10965	3e-05	40	41.5	59	98	70	106	523	multicopper oxidase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp24697_c0_seq1_FPKM_all:3.057_FPKM_rel:3.057_len:514_path:[0	PRK11824	4e-05	53	42.3	1	30	560	589	693	polynucleotide phosphorylase/polyadenylase	J	Translation, ribosomal structure and biogenesis
comp24670_c0_seq1_FPKM_all:3.324_FPKM_rel:3.324_len:411_path:[0	PRK12317	2e-23	43	102	1	76	349	424	425	elongation factor 1-alpha	J	Translation, ribosomal structure and biogenesis
comp34793_c0_seq1_FPKM_all:1.928_FPKM_rel:1.928_len:372_path:[0	PRK07235	1e-39	52	156	1	123	69	189	502	amidase	J	Translation, ribosomal structure and biogenesis
comp10130_c0_seq1_FPKM_all:11.731_FPKM_rel:3.593_len:1578_path:	PRK13184	3e-07	30	50.9	44	178	133	283	932	serine/threonine-protein kinase	X	Multifunctional
comp11472_c0_seq1_FPKM_all:8.788_FPKM_rel:2.397_len:4217_path:[	PRK10077	2e-23	23	105	108	527	63	474	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp10138_c0_seq1_FPKM_all:11.558_FPKM_rel:6.52_len:461_path:[4	PRK04156	5e-06	25	45.2	2	113	379	484	567	glutamyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp11197_c0_seq1_FPKM_all:11.385_FPKM_rel:11.385_len:393_path:	PRK09607	1e-28	64	120	1	65	53	117	132	30S ribosomal protein S11P	J	Translation, ribosomal structure and biogenesis
comp6441_c0_seq1_FPKM_all:36.751_FPKM_rel:36.751_len:1447_path:	PRK11430	2e-77	36	284	58	440	9	375	381	putative CoA-transferase	C	Energy production and conversion
comp6651_c0_seq5_FPKM_all:36.825_FPKM_rel:33.264_len:959_path:[	PRK02224	5e-04	22	40.0	41	290	321	573	880	chromosome segregation protein	L	Replication, recombination and repair
comp6933_c0_seq1_FPKM_all:41.019_FPKM_rel:41.019_len:1224_path:	PRK06202	8e-05	27	43.1	181	324	58	196	232	hypothetical protein	H	Coenzyme transport and metabolism
comp6137_c0_seq1_FPKM_all:21.422_FPKM_rel:10.725_len:2331_path:	PRK14902	2e-64	31	242	251	570	139	444	444	16S rRNA methyltransferase B	J	Translation, ribosomal structure and biogenesis
comp6137_c0_seq1_FPKM_all:21.422_FPKM_rel:10.725_len:2331_path:	PRK05901	2e-04	19	42.7	1	166	46	208	509	RNA polymerase sigma factor	K	Transcription
comp6256_c0_seq1_FPKM_all:20.687_FPKM_rel:10.439_len:2876_path:	PRK10077	7e-20	24	94.0	127	564	25	473	479	D-xylose transporter XylE	G	Carbohydrate transport and metabolism
comp7585_c0_seq1_FPKM_all:19.351_FPKM_rel:19.351_len:4753_path:	PRK10790	1e-34	33	144	1247	1509	331	572	592	putative multidrug transporter membrane\ATP-binding components	V	Defense mechanisms
comp7585_c0_seq1_FPKM_all:19.351_FPKM_rel:19.351_len:4753_path:	PRK14254	5e-13	28	72.5	650	796	55	219	285	phosphate ABC transporter ATP-binding protein	P	Inorganic ion transport and metabolism
comp7346_c0_seq2_FPKM_all:21.732_FPKM_rel:11.333_len:2414_path:	PRK07314	1e-150	50	528	73	488	36	408	411	3-oxoacyl-(acyl carrier protein) synthase II	X	Multifunctional
comp7550_c0_seq1_FPKM_all:17.121_FPKM_rel:6.086_len:780_path:[0	PRK09333	3e-39	44	155	5	139	3	136	150	30S ribosomal protein S19e	J	Translation, ribosomal structure and biogenesis
comp7523_c0_seq2_FPKM_all:19.094_FPKM_rel:9.669_len:982_path:[1	PRK11401	1e-12	31	66.2	24	127	19	126	129	putative endoribonuclease L-PSP	J	Translation, ribosomal structure and biogenesis
comp4276_c0_seq1_FPKM_all:52.191_FPKM_rel:52.191_len:3418_path:	PRK02224	3e-10	22	62.8	357	663	170	439	880	chromosome segregation protein	L	Replication, recombination and repair
comp4429_c0_seq1_FPKM_all:45.896_FPKM_rel:45.896_len:3601_path:	PRK15101	9e-05	30	45.0	129	223	22	132	961	protease3	O	Posttranslational modification, protein turnover, chaperones
comp4630_c0_seq1_FPKM_all:51.685_FPKM_rel:51.685_len:2410_path:	PRK13184	7e-11	29	64.0	167	323	4	160	932	serine/threonine-protein kinase	X	Multifunctional
comp5107_c0_seq1_FPKM_all:21.733_FPKM_rel:21.733_len:5755_path:	PRK12323	4e-05	19	44.5	166	366	362	566	700	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp5565_c0_seq5_FPKM_all:6.953_FPKM_rel:4.942_len:781_path:[23	PRK14015	4e-74	53	272	95	259	2	166	875	aminopeptidase N	E	Amino acid transport and metabolism
comp5339_c0_seq3_FPKM_all:27.313_FPKM_rel:24.213_len:639_path:[	PRK11176	1e-04	27	41.2	2	182	113	294	582	lipid transporter ATP-binding/permease protein	V	Defense mechanisms
comp4402_c0_seq1_FPKM_all:31.685_FPKM_rel:31.685_len:5546_path:	PRK00951	5e-76	44	278	62	279	3	195	195	imidazoleglycerol-phosphate dehydratase	E	Amino acid transport and metabolism
comp14275_c0_seq2_FPKM_all:9.422_FPKM_rel:4.809_len:1044_path:[	PRK05420	4e-26	32	113	51	237	34	221	231	aquaporin Z	G	Carbohydrate transport and metabolism
comp14212_c0_seq1_FPKM_all:7.219_FPKM_rel:6.465_len:317_path:[0	PRK00737	6e-08	39	50.4	7	54	1	48	72	small nuclear ribonucleoprotein	K	Transcription
comp14617_c0_seq2_FPKM_all:8.666_FPKM_rel:4.353_len:871_path:[4	PRK12467	3e-21	34	97.2	17	137	2040	2155	3956	peptide synthase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp14617_c0_seq2_FPKM_all:8.666_FPKM_rel:4.353_len:871_path:[4	PRK07201	1e-06	27	48.8	200	278	2	70	657	short chain dehydrogenase	X	Multifunctional
comp21372_c0_seq1_FPKM_all:3.652_FPKM_rel:3.652_len:851_path:[0	PRK00726	4e-05	24	42.8	45	153	214	328	357	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	M	Cell wall/membrane/envelope biogenesis
comp12367_c0_seq3_FPKM_all:4.092_FPKM_rel:3.319_len:1060_path:[	PRK01611	3e-62	27	233	6	352	5	292	507	arginyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp12276_c0_seq3_FPKM_all:5.308_FPKM_rel:5.308_len:489_path:[1	PRK10733	2e-53	64	202	1	162	230	394	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp12669_c0_seq4_FPKM_all:8.204_FPKM_rel:7.367_len:408_path:[4	PRK09601	7e-26	35	110	1	135	163	296	364	GTP-binding protein YchF	J	Translation, ribosomal structure and biogenesis
comp12024_c0_seq1_FPKM_all:11.755_FPKM_rel:10.932_len:1909_path	PRK04195	3e-05	27	44.9	187	309	10	111	482	replication factor C large subunit	L	Replication, recombination and repair
comp13201_c0_seq1_FPKM_all:6.56_FPKM_rel:3.361_len:1890_path:[0	PRK13184	5e-12	24	67.5	179	457	8	290	932	serine/threonine-protein kinase	X	Multifunctional
comp13160_c0_seq2_FPKM_all:8.24_FPKM_rel:7.965_len:1488_path:[3	PRK11814	0.0	71	848	1	399	86	486	486	cysteine desulfurase activator complex subunit SufB	O	Posttranslational modification, protein turnover, chaperones
comp13150_c0_seq1_FPKM_all:10.426_FPKM_rel:10.426_len:1330_path	PRK14875	1e-09	29	59.2	83	210	129	272	371	acetoin dehydrogenase E2 subunit dihydrolipoyllysine-residue acetyltransferase	X	Multifunctional
comp13400_c0_seq1_FPKM_all:8.546_FPKM_rel:8.546_len:1127_path:[	PRK06031	1e-50	41	194	1	211	1	208	233	phosphoribosyltransferase	F	Nucleotide transport and metabolism
comp31111_c0_seq1_FPKM_all:2.434_FPKM_rel:2.434_len:407_path:[0	PRK07333	2e-25	37	109	1	128	107	226	403	2-octaprenyl-6-methoxyphenyl hydroxylase	X	Multifunctional
comp2723_c0_seq1_FPKM_all:77.329_FPKM_rel:77.329_len:2908_path:	PRK11573	1e-13	25	73.2	110	454	32	385	413	hypothetical protein	P	Inorganic ion transport and metabolism
comp2205_c0_seq4_FPKM_all:30.461_FPKM_rel:8.639_len:1609_path:[	PRK05250	5e-53	61	203	1	112	262	370	384	S-adenosylmethionine synthetase	H	Coenzyme transport and metabolism
comp2742_c0_seq1_FPKM_all:103.539_FPKM_rel:54.474_len:1143_path	PRK05692	1e-108	52	387	47	349	3	287	287	hydroxymethylglutaryl-CoA lyase	E	Amino acid transport and metabolism
comp2896_c0_seq3_FPKM_all:37.201_FPKM_rel:37.201_len:370_path:[	PRK04012	2e-12	34	65.4	11	85	1	75	100	translation initiation factor IF-1A	J	Translation, ribosomal structure and biogenesis
comp2552_c0_seq1_FPKM_all:65.883_FPKM_rel:65.883_len:3112_path:	PRK09367	9e-81	34	296	30	525	5	452	500	histidine ammonia-lyase	E	Amino acid transport and metabolism
comp3969_c0_seq1_FPKM_all:32.332_FPKM_rel:17.181_len:656_path:[	PRK12317	2e-33	50	135	1	92	332	423	425	elongation factor 1-alpha	J	Translation, ribosomal structure and biogenesis
comp3003_c0_seq1_FPKM_all:88.928_FPKM_rel:88.928_len:1403_path:	PRK05653	2e-52	40	201	49	300	2	244	246	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp2515_c0_seq1_FPKM_all:91.712_FPKM_rel:46.51_len:3447_path:[	PRK04019	7e-10	21	59.9	19	261	1	212	330	acidic ribosomal protein P0	J	Translation, ribosomal structure and biogenesis
comp3268_c0_seq4_FPKM_all:63.707_FPKM_rel:17.833_len:1492_path:	PRK10638	2e-05	31	44.8	148	228	4	78	83	glutaredoxin 3	O	Posttranslational modification, protein turnover, chaperones
comp3995_c0_seq3_FPKM_all:64.876_FPKM_rel:19.718_len:388_path:[	PRK09599	3e-04	39	38.6	61	107	3	50	301	6-phosphogluconate dehydrogenase-like protein	G	Carbohydrate transport and metabolism
comp2160_c0_seq1_FPKM_all:67.932_FPKM_rel:67.932_len:3807_path:	PRK11440	6e-06	34	48.6	341	416	94	169	188	putative hydrolase	Q	Secondary metabolites biosynthesis, transport and catabolism
comp3463_c0_seq1_FPKM_all:79.829_FPKM_rel:79.829_len:1011_path:	PRK05557	1e-48	37	188	4	248	2	245	248	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp2097_c0_seq3_FPKM_all:67.06_FPKM_rel:43.923_len:465_path:[2	PRK05218	2e-08	38	52.4	8	75	550	613	613	heat shock protein 90	O	Posttranslational modification, protein turnover, chaperones
